# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 2.000e-04, 2.000e-04 m
# PONI: 1.995e-01, 2.016e-01 m
# Distance Sample to Detector: 1.79502286468 m
# Rotations: -0.004483 0.004646 0.000019 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1795.060 mm
# Center: x=1048.052, y=1039.198 pix
# Tilt: 0.370 deg  TiltPlanRot: 46.021 deg
# 
# Wavelength: 1.4235e-11
# Polarization factor: None
# Normalization factor: 1.0
# --> /Volumes/desy/desy_2018/TiAlNi/TiAlNi_1-00051.txt
#       2th_deg             I 
  1.836852e+00    1.051308e+02
  1.839968e+00    1.051174e+02
  1.843084e+00    1.047645e+02
  1.846200e+00    1.041658e+02
  1.849316e+00    1.038487e+02
  1.852432e+00    1.037604e+02
  1.855548e+00    1.037891e+02
  1.858664e+00    1.032985e+02
  1.861780e+00    1.032549e+02
  1.864896e+00    1.028509e+02
  1.868012e+00    1.025855e+02
  1.871128e+00    1.024434e+02
  1.874244e+00    1.022363e+02
  1.877360e+00    1.021857e+02
  1.880476e+00    1.022538e+02
  1.883592e+00    1.024119e+02
  1.886708e+00    1.022499e+02
  1.889824e+00    1.019030e+02
  1.892940e+00    1.012514e+02
  1.896056e+00    1.007766e+02
  1.899171e+00    1.005571e+02
  1.902287e+00    1.003901e+02
  1.905403e+00    1.002220e+02
  1.908519e+00    1.002994e+02
  1.911635e+00    1.006580e+02
  1.914751e+00    1.007273e+02
  1.917867e+00    1.002501e+02
  1.920983e+00    9.985637e+01
  1.924099e+00    9.941811e+01
  1.927215e+00    9.956776e+01
  1.930331e+00    9.954084e+01
  1.933447e+00    9.972832e+01
  1.936563e+00    9.939951e+01
  1.939679e+00    9.896618e+01
  1.942795e+00    9.868720e+01
  1.945911e+00    9.894542e+01
  1.949027e+00    9.906680e+01
  1.952143e+00    9.869823e+01
  1.955259e+00    9.881200e+01
  1.958375e+00    9.889041e+01
  1.961490e+00    9.873792e+01
  1.964606e+00    9.862008e+01
  1.967722e+00    9.849297e+01
  1.970838e+00    9.823393e+01
  1.973954e+00    9.804607e+01
  1.977070e+00    9.802368e+01
  1.980186e+00    9.808482e+01
  1.983302e+00    9.814413e+01
  1.986418e+00    9.806018e+01
  1.989534e+00    9.798274e+01
  1.992650e+00    9.811465e+01
  1.995766e+00    9.862375e+01
  1.998882e+00    9.986353e+01
  2.001998e+00    1.009568e+02
  2.005114e+00    1.012008e+02
  2.008230e+00    1.005037e+02
  2.011346e+00    9.995165e+01
  2.014462e+00    9.934534e+01
  2.017578e+00    9.814139e+01
